x, y
23.027027027027028, 0.007779751626548805
22.004158004158004, 0.010365167484450833
21.006237006237008, 0.013419176239560501
20.008316008316008, 0.01688162816328792
19.06029106029106, 0.021237471239356025
18.012474012474012, 0.027494912153714718
17.014553014553016, 0.034589223293223524
15.991683991683992, 0.04478064479494223
14.993762993762994, 0.056335067134139424
13.970893970893972, 0.0729337172288386
11.027027027027028, 0.1494358604769665
10.02910602910603, 0.1934658703063909
12.972972972972974, 0.09442301890135923
11.975051975051976, 0.11878630004490202
9.006237006237006, 0.25046894938031633
8.008316008316008, 0.3242675026056365
7.010395010395011, 0.4079358752505392
5.987525987525988, 0.5131925863036849
4.964656964656965, 0.6644004325811319
3.991683991683992, 0.8601603892866383
2.943866943866944, 1.0821012850190868
1.995841995841996, 1.400933257905323
1.6465696465696467, 1.9208307366395703
1.2224532224532225, 2.3480995802448303
1.022869022869023, 3.3132119659668087
0.6486486486486487, 4.168095823252985
0.22453222453222454, 0.000011878630004490203
